epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.789,0.79531,2.18259,1.11369,0.92329,0.92588,0.96397,0.7089,0.91916,1.93097,1.16679,0.000663594,0.000663594,0.000663594
2,136.042,0.86437,1.81834,1.14816,0.88262,0.86767,0.94352,0.75191,0.78849,1.41983,1.12741,0.0013138,0.0013138,0.0013138
3,185.75,0.91144,1.38645,1.19509,0.91403,0.79808,0.90295,0.70735,0.81974,1.4001,1.16671,0.0019475,0.0019475,0.0019475
4,236.606,0.88144,1.22745,1.16831,0.89047,0.85989,0.92336,0.71967,0.85305,1.01109,1.11185,0.00192575,0.00192575,0.00192575
5,286.546,0.8358,1.14006,1.15537,0.87838,0.90385,0.95945,0.7445,0.75643,1.07014,1.07204,0.001901,0.001901,0.001901
6,333.723,0.79083,0.99479,1.11044,0.97814,0.875,0.95101,0.76027,0.84162,0.93916,1.09977,0.00187625,0.00187625,0.00187625
7,382.373,0.7406,0.8715,1.07701,0.93061,0.94231,0.97518,0.82256,0.68724,0.71259,1.01499,0.0018515,0.0018515,0.0018515
8,433.173,0.76262,0.88938,1.10216,0.94049,0.95192,0.97823,0.81057,0.72278,0.72683,1.04482,0.00182675,0.00182675,0.00182675
9,484.11,0.74697,0.84607,1.08059,0.969,0.90172,0.96956,0.78539,0.76122,0.72948,1.05837,0.001802,0.001802,0.001802
10,534.051,0.71973,0.81758,1.05467,0.95704,0.96154,0.98909,0.83638,0.68385,0.61217,1.00936,0.00177725,0.00177725,0.00177725
11,582.381,0.73123,0.8411,1.06745,0.9181,0.97008,0.98124,0.79067,0.70559,0.78159,1.02866,0.0017525,0.0017525,0.0017525
12,630.824,0.67881,0.70268,1.05147,0.95193,0.97115,0.98885,0.84772,0.60527,0.52346,0.97132,0.00172775,0.00172775,0.00172775
13,680.373,0.66945,0.6861,1.0411,0.96714,0.94231,0.98746,0.82898,0.63201,0.53089,0.97775,0.001703,0.001703,0.001703
14,729.544,0.6626,0.6865,1.01567,0.9438,0.99038,0.99186,0.85867,0.63145,0.51643,0.98124,0.00167825,0.00167825,0.00167825
15,781.803,0.63699,0.6483,1.01934,0.98571,0.97115,0.99337,0.85544,0.61211,0.48526,0.98432,0.0016535,0.0016535,0.0016535
16,833.092,0.62486,0.6408,0.99765,0.95811,0.95192,0.982,0.84747,0.63916,0.55557,0.99256,0.00162875,0.00162875,0.00162875
17,884.158,0.61459,0.60424,0.99923,0.94266,0.94842,0.98903,0.83769,0.69489,0.54405,1.01069,0.001604,0.001604,0.001604
18,935.472,0.63491,0.59755,1.02265,0.97074,0.95696,0.99097,0.85887,0.60011,0.53857,0.96125,0.00157925,0.00157925,0.00157925
19,985.449,0.59005,0.56376,0.9954,0.94952,0.97115,0.98792,0.85057,0.58407,0.49455,0.95225,0.0015545,0.0015545,0.0015545
20,1034.86,0.5948,0.5717,0.9833,0.96846,0.98077,0.99347,0.87688,0.54158,0.45002,0.93072,0.00152975,0.00152975,0.00152975
21,1083.82,0.57252,0.53322,0.97189,0.96255,0.98853,0.99237,0.8806,0.58459,0.49859,0.94091,0.001505,0.001505,0.001505
22,1132.56,0.57404,0.52604,0.99188,0.98934,0.98077,0.99432,0.86986,0.61145,0.43635,0.98311,0.00148025,0.00148025,0.00148025
23,1182.35,0.54268,0.50935,0.95654,0.96144,0.95192,0.9908,0.86697,0.56858,0.4287,0.94991,0.0014555,0.0014555,0.0014555
24,1232.91,0.54647,0.52591,0.98223,0.98619,0.96154,0.99397,0.88241,0.546,0.3917,0.92355,0.00143075,0.00143075,0.00143075
25,1282.49,0.53075,0.52938,0.96149,0.95246,0.96329,0.99101,0.86622,0.57426,0.42713,0.94161,0.001406,0.001406,0.001406
26,1331.67,0.53236,0.51804,0.9634,0.9809,0.98743,0.99405,0.87136,0.57109,0.41627,0.94116,0.00138125,0.00138125,0.00138125
27,1381.24,0.50702,0.48186,0.95377,0.97138,0.97909,0.99405,0.875,0.55758,0.41228,0.94483,0.0013565,0.0013565,0.0013565
28,1430.12,0.49313,0.46511,0.94425,0.98636,0.98077,0.99396,0.87208,0.56113,0.39337,0.94184,0.00133175,0.00133175,0.00133175
29,1479.26,0.494,0.45619,0.94343,0.99874,0.97115,0.9939,0.88625,0.53856,0.39483,0.92926,0.001307,0.001307,0.001307
30,1528.43,0.52144,0.49023,0.97295,1,0.98045,0.9949,0.87931,0.52476,0.38048,0.90997,0.00128225,0.00128225,0.00128225
31,1577.27,0.50578,0.46377,0.95186,0.99877,0.98077,0.99454,0.85313,0.54,0.3862,0.93267,0.0012575,0.0012575,0.0012575
32,1627.94,0.48515,0.44222,0.95389,0.98759,0.98077,0.99462,0.89337,0.48404,0.3332,0.91071,0.00123275,0.00123275,0.00123275
33,1677.58,0.48027,0.46654,0.95277,0.97956,0.99038,0.99394,0.89637,0.49321,0.38554,0.90667,0.001208,0.001208,0.001208
34,1725.36,0.48326,0.4364,0.94307,0.97851,0.99038,0.99394,0.89548,0.4924,0.36031,0.9035,0.00118325,0.00118325,0.00118325
35,1774.96,0.46185,0.42554,0.93788,0.98798,0.99038,0.99481,0.89226,0.51442,0.34145,0.91874,0.0011585,0.0011585,0.0011585
36,1824.02,0.46769,0.40941,0.9245,0.98081,0.99038,0.99442,0.88665,0.50583,0.35798,0.9058,0.00113375,0.00113375,0.00113375
37,1874.63,0.46571,0.41896,0.93218,0.99725,0.98077,0.99463,0.89541,0.50573,0.35764,0.90919,0.001109,0.001109,0.001109
38,1923.51,0.4538,0.42225,0.9268,0.99895,0.98077,0.99481,0.90267,0.46845,0.31531,0.88615,0.00108425,0.00108425,0.00108425
39,1973.12,0.45917,0.47253,0.92059,0.97969,0.98077,0.99389,0.89862,0.49011,0.36673,0.89936,0.0010595,0.0010595,0.0010595
40,2021.2,0.45175,0.42983,0.91172,0.99036,0.98835,0.99471,0.89016,0.48298,0.33312,0.89593,0.00103475,0.00103475,0.00103475
41,2070.16,0.4573,0.41083,0.92893,0.99047,0.99905,0.99481,0.89251,0.49288,0.32889,0.91301,0.00101,0.00101,0.00101
42,2119.35,0.4599,0.41292,0.93875,0.97892,1,0.99413,0.89686,0.49688,0.34787,0.90521,0.00098525,0.00098525,0.00098525
43,2167.83,0.43112,0.38349,0.91835,0.99028,0.97999,0.99462,0.9035,0.47923,0.32704,0.89024,0.0009605,0.0009605,0.0009605
44,2217.16,0.43416,0.37882,0.91742,0.99582,0.98077,0.99396,0.90569,0.47681,0.34252,0.90197,0.00093575,0.00093575,0.00093575
45,2268.28,0.43412,0.37262,0.92191,1,0.98943,0.995,0.90565,0.48277,0.31298,0.89816,0.000911,0.000911,0.000911
46,2316.73,0.42371,0.38146,0.91753,0.99556,0.98077,0.99463,0.89768,0.48224,0.33039,0.90045,0.00088625,0.00088625,0.00088625
47,2365.18,0.42167,0.37807,0.91468,0.99036,0.98782,0.99452,0.89983,0.48159,0.32698,0.89146,0.0008615,0.0008615,0.0008615
48,2414,0.40755,0.37492,0.89811,0.96935,0.99038,0.99394,0.92111,0.45467,0.32533,0.87941,0.00083675,0.00083675,0.00083675
49,2462.94,0.39877,0.3432,0.90554,0.98699,0.98077,0.99433,0.91193,0.45164,0.34601,0.8869,0.000812,0.000812,0.000812
50,2512.15,0.38733,0.34015,0.89886,0.98879,0.99038,0.995,0.92527,0.43367,0.3062,0.86749,0.00078725,0.00078725,0.00078725
51,2560.99,0.41099,0.34204,0.90468,0.99839,0.99038,0.995,0.90976,0.47798,0.2885,0.88368,0.0007625,0.0007625,0.0007625
52,2609.92,0.39231,0.35078,0.90582,0.99533,0.99038,0.995,0.9146,0.4511,0.28707,0.88051,0.00073775,0.00073775,0.00073775
53,2658.84,0.39489,0.34354,0.90154,0.99046,0.99875,0.995,0.91514,0.44946,0.28649,0.87545,0.000713,0.000713,0.000713
54,2708.73,0.39126,0.32355,0.89908,1,0.98913,0.995,0.91394,0.44169,0.27525,0.87632,0.00068825,0.00068825,0.00068825
55,2757.63,0.37931,0.32455,0.90048,0.99917,0.99038,0.995,0.91064,0.4355,0.28726,0.8704,0.0006635,0.0006635,0.0006635
56,2806.66,0.37695,0.32847,0.89284,0.99026,0.97778,0.99462,0.90004,0.46795,0.30534,0.88443,0.00063875,0.00063875,0.00063875
57,2856,0.38131,0.32465,0.89346,0.99017,0.99038,0.9949,0.91115,0.46151,0.28803,0.88594,0.000614,0.000614,0.000614
58,2909.49,0.39767,0.33177,0.90179,1,0.98971,0.995,0.92412,0.42852,0.26052,0.87007,0.00058925,0.00058925,0.00058925
59,2959.41,0.37289,0.32021,0.88451,0.99989,0.99038,0.995,0.92474,0.42501,0.25433,0.86506,0.0005645,0.0005645,0.0005645
60,3008.73,0.36053,0.30232,0.88862,0.98929,1,0.9949,0.92121,0.43911,0.27468,0.87688,0.00053975,0.00053975,0.00053975
61,3058.21,0.37144,0.31672,0.89317,0.99856,1,0.995,0.92161,0.4361,0.25958,0.87807,0.000515,0.000515,0.000515
62,3107.74,0.36628,0.31044,0.89709,1,0.98922,0.995,0.91633,0.43318,0.27164,0.87234,0.00049025,0.00049025,0.00049025
63,3157.04,0.36622,0.30323,0.88798,0.99699,1,0.995,0.92182,0.42878,0.2742,0.86658,0.0004655,0.0004655,0.0004655
64,3206.91,0.36596,0.29659,0.89171,0.99898,0.99038,0.995,0.92802,0.40378,0.26219,0.85975,0.00044075,0.00044075,0.00044075
65,3255.61,0.34605,0.30325,0.89611,1,0.98969,0.995,0.92324,0.42528,0.27518,0.86969,0.000416,0.000416,0.000416
66,3304.92,0.35651,0.30938,0.8813,1,0.99931,0.995,0.93033,0.40343,0.26631,0.85523,0.00039125,0.00039125,0.00039125
67,3354.47,0.35001,0.2911,0.87899,0.99938,0.99038,0.995,0.9363,0.40992,0.2561,0.85966,0.0003665,0.0003665,0.0003665
68,3403.79,0.34767,0.2778,0.879,0.99937,0.99038,0.995,0.92846,0.40133,0.25113,0.86144,0.00034175,0.00034175,0.00034175
69,3452.97,0.3518,0.28755,0.881,0.99917,0.99038,0.995,0.92832,0.41195,0.2555,0.86317,0.000317,0.000317,0.000317
70,3503.33,0.33681,0.27588,0.88835,0.99046,0.99873,0.995,0.93021,0.40887,0.25695,0.86282,0.00029225,0.00029225,0.00029225
71,3553.26,0.28555,0.23671,0.82546,0.99923,0.99038,0.995,0.92285,0.40117,0.25376,0.86143,0.0002675,0.0002675,0.0002675
72,3604.79,0.28105,0.23458,0.80205,1,0.99989,0.995,0.92678,0.39348,0.23738,0.85948,0.00024275,0.00024275,0.00024275
73,3652.98,0.27443,0.22692,0.78294,1,0.99882,0.995,0.92976,0.40733,0.24374,0.86582,0.000218,0.000218,0.000218
74,3699.54,0.28558,0.22255,0.82353,0.99021,1,0.9949,0.92693,0.40371,0.24033,0.86118,0.00019325,0.00019325,0.00019325
75,3747.15,0.26477,0.21279,0.79682,0.99924,1,0.995,0.92339,0.38656,0.2356,0.85389,0.0001685,0.0001685,0.0001685
76,3794.91,0.26242,0.215,0.81435,0.99987,1,0.995,0.93128,0.3949,0.2346,0.85934,0.00014375,0.00014375,0.00014375
77,3842.13,0.26288,0.21346,0.81772,1,0.99991,0.995,0.92777,0.3966,0.23736,0.85791,0.000119,0.000119,0.000119
78,3890.5,0.26669,0.20477,0.79415,1,0.99906,0.995,0.92736,0.3994,0.23106,0.85943,9.425e-05,9.425e-05,9.425e-05
79,3938.3,0.26591,0.21077,0.80925,1,0.99923,0.995,0.9278,0.39356,0.22472,0.85859,6.95e-05,6.95e-05,6.95e-05
80,3985.14,0.25851,0.21007,0.79193,1,0.9995,0.995,0.9265,0.39915,0.23187,0.8617,4.475e-05,4.475e-05,4.475e-05
