brand,model,generation,year_from,year_to,pcd,cb,bolt_count,thread_size,center_bore_mm,diameter_min_in,diameter_max_in,width_min_j,width_max_j,et_min,et_max,notes,source_type,source_page,extraction_confidence,needs_manual_review
Skoda,Octavia,Mk1 A4 (1U),1996,2004,5x100,57.1,5,M14 x 1.5,57.1,14.0,17.0,6.0,7.0,38.0,42.0,aggregated_from_modifications=5 | modification_names=1.6i | 1.8i | 1.9D | 1.9TDI | tables_parsed=5 | rim_rows_parsed=15 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia/1996/,0.9,False
Skoda,Octavia,Mk2 A5 (1Z),2005,2012,5x112,57.1,5,M14 x 1.5,57.1,15.0,18.0,6.0,7.5,47.0,54.0,aggregated_from_modifications=10 | modification_names=1.2TSI | 1.4MPI | 1.4TSI | 1.6MPI | 1.6TDI | 1.8TFSI | 1.8TSI | 2.0TDI | 2.0TSI | tables_parsed=10 | rim_rows_parsed=29 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia/2012/,0.9,False
Skoda,Octavia,Mk3 A7 (5E),2013,2017,5x112,57.1,5,M14 x 1.5,57.1,15.0,19.0,6.0,8.0,43.0,51.0,aggregated_from_modifications=23 | modification_names=1.0TSI | 1.2TSI | 1.4TGI | 1.4TSI | 1.6MPI | 1.6TDI | 1.8TSI | 2.0TDI | 2.0TSI | 2.0MPI | tables_parsed=23 | rim_rows_parsed=158 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia/2015/,0.9,False
Skoda,Octavia,Mk3 A7 (5E) Facelift,2017,2022,5x112,57.1,5,M14 x 1.5,57.1,15.0,19.0,6.0,7.5,43.0,51.0,aggregated_from_modifications=16 | modification_names=1.0TSI | 1.4TSI | 1.5TGI | 1.5TSI | 1.6MPI | 1.6TDI | 1.8TSI | 2.0TDI | 2.0TSI | 1.2TSI | 1.5 MPI | tables_parsed=16 | rim_rows_parsed=106 | aggregated_from_modifications=1 | modification_names=1.5 MPI | tables_parsed=1 | rim_rows_parsed=7 | merged_from_urls=2,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia/2019/ | https://tirewheelguide.com/sizes/skoda/octavia/2022/,0.9,False
Skoda,Octavia,Mk4 A8 (NX),2020,2023,5x112,57.1,5,M14 x 1.5,57.1,16.0,19.0,6.5,8.0,45.0,48.0,aggregated_from_modifications=14 | modification_names=1.0 TSI | 1.0 TSI e-TEC | 1.4 TSI | 1.4 TSI iV PHEV | 1.5 TGI | 1.5 TSI | 1.5 TSI e-TEC | 1.6 MPI | 2.0 TDI | 2.0 TSI | tables_parsed=14 | rim_rows_parsed=77 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/octavia/2022/,0.9,False
Skoda,Citigo,I (J2),2011,2020,4x100,57.1,4,M12 x 1.5,57.1,14.0,16.0,5.0,6.0,35.0,43.0,aggregated_from_modifications=3 | modification_names=1.0MPI | 1.0TGI | tables_parsed=3 | rim_rows_parsed=15 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/citigo/2015/,0.9,False
Skoda,Enyaq Iv,I (NY),2020,2023,5x112,57.1,5,M14 x 1.5,57.1,18.0,21.0,8.0,9.0,40.0,45.0,aggregated_from_modifications=4 | modification_names=EV | tables_parsed=4 | rim_rows_parsed=27 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/enyaq-iv/2021/,0.9,False
Skoda,Fabia,Mk1 (6Y),1999,2007,5x100,57.1,5,M14 x 1.5,57.1,13.0,17.0,5.0,7.0,35.0,45.0,aggregated_from_modifications=10 | modification_names=1.2i | 1.4TDI | 1.4i | 1.9SDI | 1.9TDI | 2.0i | tables_parsed=10 | rim_rows_parsed=58 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/fabia/2003/,0.9,False
Skoda,Fabia,Mk2 (5J),2007,2014,5x100,57.1,5,M14 x 1.5,57.1,14.0,17.0,5.0,7.0,35.0,48.0,aggregated_from_modifications=7 | modification_names=1.2MPI | 1.4MPI | 1.4TDI | 1.6MPI | 1.9TDI | tables_parsed=7 | rim_rows_parsed=38 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/fabia/2009/,0.9,False
Skoda,Fabia,Mk3 (NJ),2015,2022,5x100,57.1,5,M14 x 1.5,57.1,14.0,18.0,5.0,7.0,35.0,46.0,aggregated_from_modifications=10 | modification_names=1.0MPI | 1.0TSI | 1.4TDI | 1.6MPI | 1.4EFI | tables_parsed=10 | rim_rows_parsed=35 | aggregated_from_modifications=1 | modification_names=1.6 MPI | tables_parsed=1 | rim_rows_parsed=3 | merged_from_urls=2,tirewheelguide,https://tirewheelguide.com/sizes/skoda/fabia/2018/ | https://tirewheelguide.com/sizes/skoda/fabia/2022/,0.9,False
Skoda,Fabia,Mk4 (PJ),2021,2023,5x100,57.1,5,M14 x 1.5,57.1,14.0,18.0,5.0,7.5,38.0,51.0,aggregated_from_modifications=5 | modification_names=1.0 MPI | 1.0 TSI | 1.5 TSI | tables_parsed=5 | rim_rows_parsed=25 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/fabia/2022/,0.9,False
Skoda,Favorit,Type 781,1987,1995,4x100,57.1,4,M12 x 1.5,57.1,13.0,15.0,4.5,6.0,38.0,40.0,aggregated_from_modifications=2 | modification_names=135I | 136I | tables_parsed=2 | rim_rows_parsed=6 | merged_from_urls=1,tirewheelguide,https://tirewheelguide.com/sizes/skoda/favorit/1995/,0.9,False
