wheel_class_name,official_wheel_name,variant_type,mapping_confidence,needs_manual_review
Alaris,ALARIS,base,0.95,False
Alcatras,Alcatras,base,0.45,True
Braga,BRAGA,base,0.95,False
Braga_Diamond_Cut_Black,BRAGA,finish_variant,0.8,True
Castor,CASTOR,base,0.95,False
Denom,DENOM,base,0.95,False
Gemini,GEMINI,base,0.95,False
Hawk,HAWK,base,0.95,False
Ilias,ILIAS,base,0.95,False
Mytikas,MYTIKAS,base,0.95,False
Mytikas_Black,MYTIKAS,finish_variant,0.8,True
Nivalis,NIVALIS,base,0.95,False
Ratikon,RATIKON,base,0.95,False
Steel_Wheel,Steel,finish_variant,0.45,True
Triton,TRITON,base,0.95,False
Trius,TRIUS,base,0.95,False
Trius_Black,TRIUS,finish_variant,0.8,True
Turbine,TURBINE,base,0.95,False
Vega,VEGA,base,0.95,False
Velorum,VELORUM,base,0.95,False
Xtreme,XTREME,base,0.95,False
