wheel_class_name,official_wheel_name,brand,color_variant,diameter_in,width_j,et,pcd,cb,bolt_count,designed_for_models,generation,year_from,year_to,tyre_size,oem_part_code,notes,source_type,source_page,extraction_confidence,needs_manual_review
,Germany,Skoda,steel,15.0,6.0,,5x112,,5.0,Škoda Octavia 2,,,,,1K0601027CE03C,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/1k0601027ce03c-steel-rim-germany-6502.html,0.55,True
,European Union,Skoda,steel,16.0,6.5,,5x112,,5.0,Škoda Octavia 2,,,,,1K0601027K03C,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/1k0601027k03c-steel-rim-european-union-45641.html,0.55,True
,Germany,Skoda,steel,14.0,5.0,35.0,4x100,,4.0,Škoda Citigo,,,,,1S0601027G03C,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/1s0601027g03c-steel-rim-5jx14-et35-germany-40719.html,0.95,False
,Germany,Skoda,steel,16.0,6.0,40.0,5x100,,5.0,Škoda Kamiq | Škoda Scala,,,,,2Q0601027AA03C,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/2q0601027aa03c-steel-rim-germany-45794.html,0.95,False
,Germany,Skoda,steel,16.0,6.0,35.0,5x100,,5.0,Škoda Kamiq | Škoda Scala,,,,,2Q0601027H03C,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/2q0601027h03c-steel-rim-germany-45797.html,0.95,False
,PEGASUS,Skoda,silver metallic,18.0,8.0,44.0,,,,Škoda Superb 3,,,,,3V0071498G8Z8,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/3v0071498g8z8-aluminium-rim-18-pegasus-skoda-41353.html,0.55,True
,PEGASUS,Skoda,anthracite,18.0,8.0,44.0,,,,Škoda Superb 3,,,,,3V0071498HHA7,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/3v0071498hha7-aluminium-rim-18-pegasus-skoda-32355.html,0.55,True
Vega,VEGA,Skoda,anthracite,19.0,8.0,44.0,5x112,,5.0,Škoda Superb 3,,,,235/40 R19,3V0071499GHA7,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/3v0071499gha7-aluminium-rim-19-vega-skoda-35856.html,0.95,False
Vega,VEGA,Skoda,,20.0,8.0,41.0,5x112,,5.0,Škoda Kodiaq,,,,235/45 R20,565071490AFL8,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/565071490afl8-aluminium-rim-20-vega-skoda-35397.html,0.95,False
Xtreme,XTREME,Skoda,anthracite,20.0,8.0,41.0,5x112,,5.0,Škoda Kodiaq,,,,235/45 R20,565071490CHA7,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/565071490cha7-aluminium-rim-20-xtreme-skoda-41377.html,0.95,False
Xtreme,XTREME,Skoda,black metallic,20.0,8.0,41.0,5x112,,5.0,Škoda Kodiaq,,,,235/45 R20,565071490EQXJ,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/565071490eqxj-aluminium-rim-20-xtreme-skoda-41378.html,0.95,False
Ratikon,RATIKON,Skoda,,17.0,7.0,40.0,5x112,,5.0,Škoda Kodiaq,,,,,565071497A8Z8,,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/565071497a8z8-aluminium-rim-17-ratikon-skoda-30310.html,0.95,False
Braga_Diamond_Cut_Black,BRAGA,Skoda,anthracite,19.0,7.0,43.0,,,,Škoda Kodiaq,,,,,565601025ACHA7,: without center cover,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/565601025acha7-aluminium-rim-19-braga-skoda-37595.html,0.55,True
Castor,CASTOR,Skoda,silver metallic,16.0,6.0,,,,,Škoda Karoq,,,,215/60 R16 | 225/60 R16,57A071496AE8Z8,"6Jx16"" ET43, suitable for 215/60 R16 or 225/60 R16(only 4×4) tires, brilliant silver metallic color.",skoda_parts_reseller,https://www.skoda-parts.com/spare-part/57a071496ae8z8-aluminium-rim-16-castor-skoda-31833.html,0.55,True
Ratikon,RATIKON,Skoda,silver metallic,17.0,7.0,45.0,4x4,,4.0,Škoda Karoq,,,,,57A071497AD8Z8,: without center cover,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/57a071497ad8z8-aluminium-rim-17-ratikon-skoda-31829.html,0.95,False
Ratikon,RATIKON,Skoda,black metallic,17.0,7.0,45.0,4x4,,4.0,Škoda Karoq,,,,,57A071497AEFL8,: without center cover,skoda_parts_reseller,https://www.skoda-parts.com/spare-part/57a071497aefl8-aluminium-rim-17-ratikon-skoda-50429.html,0.95,False
