fold,retrieval_mode,topn,label,precision,recall,f1_score,support
0,centroid,1,Alaris,0.8695652173913043,0.7142857142857143,0.7843137254901961,28
0,centroid,1,Alcatras,0.7307692307692307,0.7307692307692307,0.7307692307692307,26
0,centroid,1,Braga,0.775,0.8157894736842105,0.7948717948717948,38
0,centroid,1,Castor,0.8333333333333334,0.9375,0.8823529411764706,32
0,centroid,1,Denom,0.918918918918919,0.8947368421052632,0.9066666666666666,38
0,centroid,1,Gemini,0.9629629629629629,0.9285714285714286,0.9454545454545454,28
0,centroid,1,Hawk,0.9259259259259259,0.9615384615384616,0.9433962264150944,26
0,centroid,1,Ilias,0.8181818181818182,0.9310344827586207,0.8709677419354839,29
0,centroid,1,Mytikas,0.9166666666666666,0.7857142857142857,0.8461538461538461,28
0,centroid,1,Nivalis,0.9047619047619048,0.8260869565217391,0.8636363636363636,23
0,centroid,1,Ratikon,0.8888888888888888,0.8571428571428571,0.8727272727272727,28
0,centroid,1,Steel_Wheel,1.0,1.0,1.0,36
0,centroid,1,Triton,0.8360655737704918,0.9444444444444444,0.8869565217391304,54
0,centroid,1,Trius,0.9459459459459459,0.8536585365853658,0.8974358974358975,41
0,centroid,1,Turbine,1.0,0.8928571428571429,0.9433962264150944,28
0,centroid,1,Vega,0.972972972972973,1.0,0.9863013698630136,36
0,centroid,1,Velorum,0.967741935483871,1.0,0.9836065573770492,60
0,centroid,1,Xtreme,1.0,1.0,1.0,38
0,centroid,1,macro avg,0.9037611831096799,0.893007214276598,0.896611496007064,617
0,centroid,1,weighted avg,0.9068649412080728,0.9043760129659644,0.9039461951440673,617
1,centroid,1,Alaris,0.8148148148148148,0.7857142857142857,0.8,28
1,centroid,1,Alcatras,0.8214285714285714,0.8846153846153846,0.8518518518518519,26
1,centroid,1,Braga,0.8947368421052632,0.8947368421052632,0.8947368421052632,38
1,centroid,1,Castor,0.8529411764705882,0.90625,0.8787878787878788,32
1,centroid,1,Denom,0.75,0.868421052631579,0.8048780487804879,38
1,centroid,1,Gemini,0.9259259259259259,0.9259259259259259,0.9259259259259259,27
1,centroid,1,Hawk,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
1,centroid,1,Ilias,1.0,0.896551724137931,0.9454545454545454,29
1,centroid,1,Mytikas,0.7586206896551724,0.7857142857142857,0.7719298245614035,28
1,centroid,1,Nivalis,0.8888888888888888,0.7272727272727273,0.8,22
1,centroid,1,Ratikon,0.8,0.8571428571428571,0.8275862068965517,28
1,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
1,centroid,1,Triton,0.8135593220338984,0.8888888888888888,0.8495575221238938,54
1,centroid,1,Trius,0.875,0.6829268292682927,0.7671232876712328,41
1,centroid,1,Turbine,0.9629629629629629,0.9285714285714286,0.9454545454545454,28
1,centroid,1,Vega,0.9444444444444444,0.9714285714285714,0.9577464788732394,35
1,centroid,1,Velorum,1.0,0.9830508474576272,0.9914529914529915,59
1,centroid,1,Xtreme,1.0,1.0,1.0,38
1,centroid,1,macro avg,0.8903555867670807,0.8839049207751096,0.8853090485009297,612
1,centroid,1,weighted avg,0.8937724380608919,0.8905228758169934,0.8903220561115218,612
2,centroid,1,Alaris,0.8387096774193549,0.9285714285714286,0.8813559322033898,28
2,centroid,1,Alcatras,0.8,0.7692307692307693,0.7843137254901961,26
2,centroid,1,Braga,0.8571428571428571,0.8108108108108109,0.8333333333333334,37
2,centroid,1,Castor,0.7441860465116279,1.0,0.8533333333333334,32
2,centroid,1,Denom,0.8529411764705882,0.7631578947368421,0.8055555555555556,38
2,centroid,1,Gemini,0.8620689655172413,0.9259259259259259,0.8928571428571429,27
2,centroid,1,Hawk,0.9230769230769231,0.9230769230769231,0.9230769230769231,26
2,centroid,1,Ilias,0.7931034482758621,0.7931034482758621,0.7931034482758621,29
2,centroid,1,Mytikas,0.8421052631578947,0.5714285714285714,0.6808510638297872,28
2,centroid,1,Nivalis,0.7272727272727273,0.7272727272727273,0.7272727272727273,22
2,centroid,1,Ratikon,0.8,0.8571428571428571,0.8275862068965517,28
2,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
2,centroid,1,Triton,0.8461538461538461,0.8301886792452831,0.8380952380952381,53
2,centroid,1,Trius,0.8205128205128205,0.7804878048780488,0.8,41
2,centroid,1,Turbine,0.7857142857142857,0.7857142857142857,0.7857142857142857,28
2,centroid,1,Vega,0.9459459459459459,1.0,0.9722222222222222,35
2,centroid,1,Velorum,0.9354838709677419,0.9830508474576272,0.9586776859504132,59
2,centroid,1,Xtreme,0.9705882352941176,0.868421052631579,0.9166666666666666,38
2,centroid,1,macro avg,0.8525003383018797,0.85097689035553,0.8485564161540904,610
2,centroid,1,weighted avg,0.8609014315364418,0.8590163934426229,0.8570602667446959,610
3,centroid,1,Alaris,0.9130434782608695,0.7777777777777778,0.84,27
3,centroid,1,Alcatras,0.76,0.7307692307692307,0.7450980392156863,26
