fold,retrieval_mode,topn,label,count,recall@1,recall@3,recall@5
0,centroid,1,Alaris,28,0.7142857142857143,0.8928571428571429,1.0
0,centroid,1,Alcatras,26,0.8461538461538461,0.9230769230769231,1.0
0,centroid,1,Braga,38,0.868421052631579,0.9473684210526315,0.9736842105263158
0,centroid,1,Castor,32,0.9375,1.0,1.0
0,centroid,1,Denom,38,0.8421052631578947,1.0,1.0
0,centroid,1,Gemini,28,0.9285714285714286,0.9642857142857143,1.0
0,centroid,1,Hawk,26,0.9230769230769231,0.9615384615384616,0.9615384615384616
0,centroid,1,Ilias,29,0.8620689655172413,1.0,1.0
0,centroid,1,Mytikas,28,0.7142857142857143,1.0,1.0
0,centroid,1,Nivalis,23,0.6956521739130435,0.9565217391304348,1.0
0,centroid,1,Ratikon,28,0.9642857142857143,1.0,1.0
0,centroid,1,Steel_Wheel,36,1.0,1.0,1.0
0,centroid,1,Triton,54,0.8703703703703703,1.0,1.0
0,centroid,1,Trius,41,0.7560975609756098,0.9512195121951219,1.0
0,centroid,1,Turbine,28,0.75,0.9642857142857143,0.9642857142857143
0,centroid,1,Vega,36,1.0,1.0,1.0
0,centroid,1,Velorum,60,0.9666666666666667,1.0,1.0
0,centroid,1,Xtreme,38,1.0,1.0,1.0
1,centroid,1,Alaris,28,0.7142857142857143,0.9285714285714286,0.9642857142857143
1,centroid,1,Alcatras,26,0.7307692307692307,0.9615384615384616,1.0
1,centroid,1,Braga,38,0.7368421052631579,0.9473684210526315,1.0
1,centroid,1,Castor,32,0.84375,0.9375,1.0
1,centroid,1,Denom,38,0.8947368421052632,0.9736842105263158,0.9736842105263158
1,centroid,1,Gemini,27,0.9259259259259259,0.9259259259259259,0.9259259259259259
1,centroid,1,Hawk,26,0.9230769230769231,1.0,1.0
1,centroid,1,Ilias,29,0.8275862068965517,1.0,1.0
1,centroid,1,Mytikas,28,0.6071428571428571,0.9642857142857143,1.0
1,centroid,1,Nivalis,22,0.6818181818181818,1.0,1.0
1,centroid,1,Ratikon,28,0.9285714285714286,1.0,1.0
1,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
1,centroid,1,Triton,54,0.8148148148148148,0.9444444444444444,0.9814814814814815
1,centroid,1,Trius,41,0.6829268292682927,0.9024390243902439,0.975609756097561
1,centroid,1,Turbine,28,0.8571428571428571,1.0,1.0
1,centroid,1,Vega,35,0.9428571428571428,0.9714285714285714,0.9714285714285714
1,centroid,1,Velorum,59,0.9830508474576272,1.0,1.0
1,centroid,1,Xtreme,38,1.0,1.0,1.0
2,centroid,1,Alaris,28,0.8928571428571429,1.0,1.0
2,centroid,1,Alcatras,26,0.8461538461538461,0.8846153846153846,0.9615384615384616
2,centroid,1,Braga,37,0.8648648648648649,1.0,1.0
2,centroid,1,Castor,32,0.90625,0.96875,0.96875
2,centroid,1,Denom,38,0.7368421052631579,0.9210526315789473,1.0
2,centroid,1,Gemini,27,0.8888888888888888,1.0,1.0
2,centroid,1,Hawk,26,0.8846153846153846,0.9230769230769231,1.0
2,centroid,1,Ilias,29,0.8620689655172413,0.9655172413793104,0.9655172413793104
2,centroid,1,Mytikas,28,0.6785714285714286,1.0,1.0
2,centroid,1,Nivalis,22,0.8181818181818182,0.9545454545454546,0.9545454545454546
2,centroid,1,Ratikon,28,0.7857142857142857,0.9642857142857143,1.0
2,centroid,1,Steel_Wheel,35,1.0,1.0,1.0
