fold,retrieval_mode,topn,true_label,pred_label,count
0,centroid,1,Alaris,Alaris,20
0,centroid,1,Alaris,Alcatras,4
0,centroid,1,Alaris,Braga,3
0,centroid,1,Alaris,Trius,1
0,centroid,1,Alcatras,Alaris,1
0,centroid,1,Alcatras,Alcatras,22
0,centroid,1,Alcatras,Castor,1
0,centroid,1,Alcatras,Turbine,2
0,centroid,1,Braga,Braga,33
0,centroid,1,Braga,Castor,1
0,centroid,1,Braga,Triton,2
0,centroid,1,Braga,Vega,1
0,centroid,1,Braga,Velorum,1
0,centroid,1,Castor,Alcatras,1
0,centroid,1,Castor,Castor,30
0,centroid,1,Castor,Turbine,1
0,centroid,1,Denom,Denom,32
0,centroid,1,Denom,Ilias,1
0,centroid,1,Denom,Ratikon,3
0,centroid,1,Denom,Steel_Wheel,1
0,centroid,1,Denom,Velorum,1
0,centroid,1,Gemini,Alaris,1
0,centroid,1,Gemini,Gemini,26
0,centroid,1,Gemini,Trius,1
0,centroid,1,Hawk,Alcatras,1
0,centroid,1,Hawk,Hawk,24
0,centroid,1,Hawk,Trius,1
0,centroid,1,Ilias,Ilias,25
0,centroid,1,Ilias,Ratikon,1
0,centroid,1,Ilias,Velorum,3
0,centroid,1,Mytikas,Alaris,1
0,centroid,1,Mytikas,Alcatras,1
0,centroid,1,Mytikas,Castor,1
0,centroid,1,Mytikas,Mytikas,20
0,centroid,1,Mytikas,Triton,4
0,centroid,1,Mytikas,Trius,1
0,centroid,1,Nivalis,Denom,5
0,centroid,1,Nivalis,Nivalis,16
0,centroid,1,Nivalis,Ratikon,1
0,centroid,1,Nivalis,Velorum,1
0,centroid,1,Ratikon,Denom,1
0,centroid,1,Ratikon,Ratikon,27
0,centroid,1,Steel_Wheel,Steel_Wheel,36
0,centroid,1,Triton,Alcatras,1
0,centroid,1,Triton,Castor,2
0,centroid,1,Triton,Ilias,2
0,centroid,1,Triton,Mytikas,1
0,centroid,1,Triton,Triton,47
0,centroid,1,Triton,Trius,1
0,centroid,1,Trius,Alaris,2
0,centroid,1,Trius,Alcatras,1
0,centroid,1,Trius,Braga,3
