fold,retrieval_mode,topn,label,precision,recall,f1_score,support
2,centroid,1,Alaris,0.8064516129032258,0.8928571428571429,0.847457627118644,28
2,centroid,1,Alcatras,0.7586206896551724,0.8461538461538461,0.8,26
2,centroid,1,Braga,0.8648648648648649,0.8648648648648649,0.8648648648648649,37
2,centroid,1,Castor,0.9354838709677419,0.90625,0.9206349206349206,32
2,centroid,1,Denom,0.7567567567567568,0.7368421052631579,0.7466666666666667,38
2,centroid,1,Gemini,0.8571428571428571,0.8888888888888888,0.8727272727272727,27
2,centroid,1,Hawk,0.9583333333333334,0.8846153846153846,0.92,26
2,centroid,1,Ilias,0.9259259259259259,0.8620689655172413,0.8928571428571429,29
2,centroid,1,Mytikas,0.9047619047619048,0.6785714285714286,0.7755102040816326,28
2,centroid,1,Nivalis,0.8181818181818182,0.8181818181818182,0.8181818181818182,22
2,centroid,1,Ratikon,0.9166666666666666,0.7857142857142857,0.8461538461538461,28
2,centroid,1,Steel_Wheel,1.0,1.0,1.0,35
2,centroid,1,Triton,0.8461538461538461,0.8301886792452831,0.8380952380952381,53
2,centroid,1,Trius,0.7441860465116279,0.7804878048780488,0.7619047619047619,41
2,centroid,1,Turbine,0.8571428571428571,0.8571428571428571,0.8571428571428571,28
2,centroid,1,Vega,0.8974358974358975,1.0,0.9459459459459459,35
2,centroid,1,Velorum,0.8529411764705882,0.9830508474576272,0.9133858267716536,59
2,centroid,1,Xtreme,0.9705882352941176,0.868421052631579,0.9166666666666666,38
2,centroid,1,macro avg,0.8706465755649558,0.860238887332414,0.863233092211885,610
2,centroid,1,weighted avg,0.8686595408159888,0.8655737704918033,0.8649736054822486,610
