fold,retrieval_mode,topn,label,precision,recall,f1_score,support
0,centroid,1,Alaris,0.84,0.75,0.7924528301886793,28
0,centroid,1,Alcatras,0.7083333333333334,0.6538461538461539,0.68,26
0,centroid,1,Braga,0.8421052631578947,0.8421052631578947,0.8421052631578947,38
0,centroid,1,Castor,0.7317073170731707,0.9375,0.821917808219178,32
0,centroid,1,Denom,0.9166666666666666,0.868421052631579,0.8918918918918919,38
0,centroid,1,Gemini,0.9642857142857143,0.9642857142857143,0.9642857142857143,28
0,centroid,1,Hawk,1.0,0.9615384615384616,0.9803921568627451,26
0,centroid,1,Ilias,0.7878787878787878,0.896551724137931,0.8387096774193549,29
0,centroid,1,Mytikas,0.88,0.7857142857142857,0.8301886792452831,28
0,centroid,1,Nivalis,0.8260869565217391,0.8260869565217391,0.8260869565217391,23
0,centroid,1,Ratikon,0.88,0.7857142857142857,0.8301886792452831,28
0,centroid,1,Steel_Wheel,1.0,1.0,1.0,36
0,centroid,1,Triton,0.8596491228070176,0.9074074074074074,0.8828828828828829,54
0,centroid,1,Trius,0.875,0.8536585365853658,0.8641975308641975,41
0,centroid,1,Turbine,1.0,0.8214285714285714,0.9019607843137255,28
0,centroid,1,Vega,0.972972972972973,1.0,0.9863013698630136,36
0,centroid,1,Velorum,0.9523809523809523,1.0,0.975609756097561,60
0,centroid,1,Xtreme,1.0,1.0,1.0,38
0,centroid,1,macro avg,0.8909481715043471,0.8807921340538549,0.883842887836619,617
0,centroid,1,weighted avg,0.895914190917811,0.893030794165316,0.8926602833781707,617
