fold,retrieval_mode,topn,recall@1,recall@3,recall@5,macro_precision,macro_recall,macro_f1,weighted_precision,weighted_recall,weighted_f1
0,centroid,1,0.9173419773095624,0.9756888168557536,0.9918962722852512,0.9166221919712016,0.9086571599007147,0.9114792682479691,0.9192528496940096,0.9173419773095624,0.9173266401256074
0,multi_max,1,0.8962722852512156,0.9821717990275527,0.9918962722852512,0.8947589048460886,0.8905751722428121,0.8908525612667163,0.8988724159748536,0.8962722852512156,0.8960956339093079
0,multi_topn_avg,3,0.9157212317666127,0.9789303079416531,0.9902755267423015,0.9102245534811324,0.9075921664530348,0.9073507862476453,0.9173319280928254,0.9157212317666127,0.915226913780116
1,centroid,1,0.9052287581699346,0.9787581699346405,0.9901960784313726,0.9030908505136398,0.9019435543968908,0.9019734152588944,0.9061624239782654,0.9052287581699346,0.9052245410769993
1,multi_max,1,0.8594771241830066,0.9803921568627451,0.9918300653594772,0.8553481951422395,0.8532472458534051,0.8521707186990356,0.8635413269383583,0.8594771241830066,0.8597048737544435
1,multi_topn_avg,3,0.8921568627450981,0.9836601307189542,0.9901960784313726,0.8930996670878818,0.8876179492318903,0.8879027532805236,0.8975777407538421,0.8921568627450981,0.892936767399592
2,centroid,1,0.8934426229508197,0.9721311475409836,0.9885245901639345,0.8912737014534292,0.8877422905670931,0.8880480067684561,0.8953808876274936,0.8934426229508197,0.893088822401377
2,multi_max,1,0.8836065573770492,0.9770491803278688,0.9852459016393442,0.8833176348904158,0.8818760789483733,0.8801313699163654,0.8898289989782996,0.8836065573770492,0.8844690693413109
2,multi_topn_avg,3,0.9016393442622951,0.9737704918032787,0.9852459016393442,0.8979916696507222,0.8953878807353131,0.895269993541977,0.9046037585345446,0.9016393442622951,0.901849909274984
3,centroid,1,0.8990066225165563,0.9668874172185431,0.9933774834437086,0.9066421786985264,0.8912483253687541,0.8959794460209127,0.9034318398819957,0.8990066225165563,0.8982775305934526
3,multi_max,1,0.8758278145695364,0.9718543046357616,0.9900662251655629,0.8782081896445376,0.8709755591271092,0.8717357249248415,0.8785865255887583,0.8758278145695364,0.8743726153282579
3,multi_topn_avg,3,0.8940397350993378,0.9685430463576159,0.9900662251655629,0.9028377876956597,0.8890421082798743,0.8926232819962235,0.8982928193505554,0.8940397350993378,0.8926983179533913
4,centroid,1,0.891846921797005,0.9816971713810316,0.9916805324459235,0.8931911096201784,0.8860807614255014,0.8883000985426768,0.8941888542314704,0.891846921797005,0.8918281344783273
4,multi_max,1,0.8535773710482529,0.9800332778702163,0.9900166389351082,0.8472470110868804,0.8458829265049485,0.8455235500525335,0.8555650819666676,0.8535773710482529,0.8535980224111326
4,multi_topn_avg,3,0.8885191347753744,0.9833610648918469,0.9916805324459235,0.8905961205327146,0.8826237701540447,0.8839296099317181,0.8936349029305514,0.8885191347753744,0.8887567467976598
