brand,model,source_url
Skoda,Octavia,https://tirewheelguide.com/sizes/skoda/octavia/1996/
Skoda,Octavia,https://tirewheelguide.com/sizes/skoda/octavia/2012/
Skoda,Octavia,https://tirewheelguide.com/sizes/skoda/octavia/2015/
Skoda,Octavia,https://tirewheelguide.com/sizes/skoda/octavia/2019/
Skoda,Octavia,https://tirewheelguide.com/sizes/skoda/octavia/2022/
Skoda,Citigo,https://tirewheelguide.com/sizes/skoda/citigo/2015/
Skoda,Enyaq IV,https://tirewheelguide.com/sizes/skoda/enyaq-iv/2021/
Skoda,Fabia,https://tirewheelguide.com/sizes/skoda/fabia/2003/
Skoda,Fabia,https://tirewheelguide.com/sizes/skoda/fabia/2009/
Skoda,Fabia,https://tirewheelguide.com/sizes/skoda/fabia/2018/
Skoda,Fabia,https://tirewheelguide.com/sizes/skoda/fabia/2022/
Skoda,Favorit,https://tirewheelguide.com/sizes/skoda/favorit/1995/
Skoda,Felicia,https://tirewheelguide.com/sizes/skoda/felicia/2001/
Skoda,Kamiq,https://tirewheelguide.com/sizes/skoda/kamiq/2022/
Skoda,Kamiq GT,https://tirewheelguide.com/sizes/skoda/kamiq-gt/2021/
Skoda,Karoq,https://tirewheelguide.com/sizes/skoda/karoq/2017/
Skoda,Karoq,https://tirewheelguide.com/sizes/skoda/karoq/2022/
Skoda,Kodiaq,https://tirewheelguide.com/sizes/skoda/kodiaq/2016/
Skoda,Kodiaq,https://tirewheelguide.com/sizes/skoda/kodiaq/2022/
Skoda,Kodiaq GT,https://tirewheelguide.com/sizes/skoda/kodiaq-gt/2021/
Skoda,Kushaq,https://tirewheelguide.com/sizes/skoda/kushaq/2021/
Skoda,Octavia Classic,https://tirewheelguide.com/sizes/skoda/octavia-classic/2018/
Skoda,Octavia Pro,https://tirewheelguide.com/sizes/skoda/octavia-pro/2022/
Skoda,Octavia Scout,https://tirewheelguide.com/sizes/skoda/octavia-scout/2010/
Skoda,Octavia Scout,https://tirewheelguide.com/sizes/skoda/octavia-scout/2015/
Skoda,Octavia Scout,https://tirewheelguide.com/sizes/skoda/octavia-scout/2019/
Skoda,Octavia Scout,https://tirewheelguide.com/sizes/skoda/octavia-scout/2022/
Skoda,Octavia Tour,https://tirewheelguide.com/sizes/skoda/octavia-tour/2010/
Skoda,Praktik,https://tirewheelguide.com/sizes/skoda/praktik/2015/
Skoda,Rapid,https://tirewheelguide.com/sizes/skoda/rapid/2015/
Skoda,Rapid,https://tirewheelguide.com/sizes/skoda/rapid/2018/
Skoda,Rapid,https://tirewheelguide.com/sizes/skoda/rapid/2020/
Skoda,Rapid,https://tirewheelguide.com/sizes/skoda/rapid/2022/
Skoda,Roomster,https://tirewheelguide.com/sizes/skoda/roomster/2015/
Skoda,Scala,https://tirewheelguide.com/sizes/skoda/scala/2022/
Skoda,Slavia,https://tirewheelguide.com/sizes/skoda/slavia/2022/
Skoda,Superb,https://tirewheelguide.com/sizes/skoda/superb/2004/
Skoda,Superb,https://tirewheelguide.com/sizes/skoda/superb/2012/
Skoda,Superb,https://tirewheelguide.com/sizes/skoda/superb/2018/
Skoda,Superb,https://tirewheelguide.com/sizes/skoda/superb/2022/
Skoda,Superb Scout,https://tirewheelguide.com/sizes/skoda/superb-scout/2021/
Skoda,Yeti,https://tirewheelguide.com/sizes/skoda/yeti/2010/
Skoda,Yeti,https://tirewheelguide.com/sizes/skoda/yeti/2022/
