class_name,support,top1_accuracy,top3_accuracy,precision,recall,f1_score
Alaris,25,0.960000,1.000000,0.960000,0.960000,0.960000
Alcatras,25,0.960000,1.000000,1.000000,0.960000,0.979592
Braga,25,0.840000,1.000000,0.954545,0.840000,0.893617
Braga_Diamond_Cut_Black,25,0.840000,1.000000,1.000000,0.840000,0.913043
Castor,25,0.920000,1.000000,0.920000,0.920000,0.920000
Denom,25,0.920000,1.000000,0.884615,0.920000,0.901961
Gemini,25,1.000000,1.000000,1.000000,1.000000,1.000000
Hawk,25,1.000000,1.000000,1.000000,1.000000,1.000000
Ilias,25,0.920000,1.000000,0.821429,0.920000,0.867925
Mytikas,25,1.000000,1.000000,0.714286,1.000000,0.833333
Mytikas_Black,25,1.000000,1.000000,1.000000,1.000000,1.000000
Nivalis,25,0.920000,1.000000,0.920000,0.920000,0.920000
Ratikon,25,1.000000,1.000000,0.925926,1.000000,0.961538
Steel_Wheel,25,1.000000,1.000000,1.000000,1.000000,1.000000
Triton,25,0.760000,1.000000,0.863636,0.760000,0.808511
Trius,25,0.840000,0.960000,0.913043,0.840000,0.875000
Trius_Black,25,1.000000,1.000000,1.000000,1.000000,1.000000
Turbine,25,0.960000,1.000000,0.960000,0.960000,0.960000
Vega,25,1.000000,1.000000,0.925926,1.000000,0.961538
Velorum,25,0.800000,0.960000,1.000000,0.800000,0.888889
Xtreme,25,1.000000,1.000000,1.000000,1.000000,1.000000
