path,label,source_split,fold
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_12.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\bfbb3es-1920.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\73c2be6s-960.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\g6tKIQMTOQg-d0Le0ycc5MWODgs-960.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\1200x900.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\val\Alaris\train_Alaris_0051.jpg,Alaris,val,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\train_Alaris_0016.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\val_Alaris_0014.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_1.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\val_Alaris_0013.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_66.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_35.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_23.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\train_Alaris_0055.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\train_Alaris_0009.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\val\Alaris\48AAAgFoLuA-1920.jpg,Alaris,val,1
C:\Users\vilja\Desktop\PROD_cropped\val\Alaris\Alaris_11.jpg,Alaris,val,0
C:\Users\vilja\Desktop\PROD_cropped\val\Alaris\Alaris_24.jpg,Alaris,val,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_9.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\iNMj7Ba2dv0pTC_sWujX-LY-B6g-960.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\BXFUZBh8.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_26.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\1715728391999_bulletin.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_41.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_44.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\train_Alaris_0046.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\jkM6lfdZXjnqBbXaK8pZzOaNJIQ-960.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Riko5pY_NHIKSNL5dSGJ9TVBi64-960.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\train_Alaris_0006.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\ZQAAAgBcBuA-960.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\val\Alaris\Alaris_73.jpg,Alaris,val,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_14.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\maxrefgfsdefault.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\Alaris_32.jpg,Alaris,train,1
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\6f869804k958-960.jpg,Alaris,train,0
C:\Users\vilja\Desktop\PROD_cropped\train\Alaris\dba7515s-960.jpg,Alaris,train,1
