fold,retrieval_mode,topn,true_label,pred_label,count
0,centroid,1,Alaris,Alaris,21
0,centroid,1,Alaris,Alcatras,4
0,centroid,1,Alaris,Braga,2
0,centroid,1,Alaris,Trius,1
0,centroid,1,Alcatras,Alcatras,17
0,centroid,1,Alcatras,Castor,5
0,centroid,1,Alcatras,Hawk,1
0,centroid,1,Alcatras,Trius,1
0,centroid,1,Alcatras,Turbine,2
0,centroid,1,Braga,Alaris,1
0,centroid,1,Braga,Alcatras,2
0,centroid,1,Braga,Braga,31
0,centroid,1,Braga,Triton,1
0,centroid,1,Braga,Trius,1
0,centroid,1,Braga,Turbine,1
0,centroid,1,Braga,Vega,1
0,centroid,1,Castor,Alcatras,4
0,centroid,1,Castor,Castor,28
0,centroid,1,Denom,Denom,35
0,centroid,1,Denom,Nivalis,1
0,centroid,1,Denom,Ratikon,2
0,centroid,1,Gemini,Alaris,1
0,centroid,1,Gemini,Gemini,23
0,centroid,1,Gemini,Vega,1
0,centroid,1,Gemini,Velorum,1
0,centroid,1,Gemini,Xtreme,2
0,centroid,1,Hawk,Gemini,1
0,centroid,1,Hawk,Hawk,25
0,centroid,1,Ilias,Denom,1
0,centroid,1,Ilias,Ilias,26
0,centroid,1,Ilias,Ratikon,1
0,centroid,1,Ilias,Velorum,1
0,centroid,1,Mytikas,Alcatras,2
0,centroid,1,Mytikas,Castor,1
0,centroid,1,Mytikas,Gemini,1
0,centroid,1,Mytikas,Mytikas,16
0,centroid,1,Mytikas,Triton,5
0,centroid,1,Mytikas,Trius,3
0,centroid,1,Nivalis,Denom,5
0,centroid,1,Nivalis,Nivalis,15
0,centroid,1,Nivalis,Ratikon,1
0,centroid,1,Nivalis,Velorum,2
0,centroid,1,Ratikon,Denom,1
0,centroid,1,Ratikon,Ilias,3
0,centroid,1,Ratikon,Nivalis,2
0,centroid,1,Ratikon,Ratikon,22
0,centroid,1,Steel_Wheel,Steel_Wheel,36
0,centroid,1,Triton,Alcatras,1
0,centroid,1,Triton,Ilias,2
0,centroid,1,Triton,Mytikas,2
0,centroid,1,Triton,Triton,45
0,centroid,1,Triton,Trius,3
0,centroid,1,Triton,Velorum,1
0,centroid,1,Trius,Braga,2
0,centroid,1,Trius,Denom,2
0,centroid,1,Trius,Gemini,1
0,centroid,1,Trius,Ilias,1
0,centroid,1,Trius,Mytikas,1
0,centroid,1,Trius,Triton,3
0,centroid,1,Trius,Trius,31
0,centroid,1,Turbine,Alaris,1
0,centroid,1,Turbine,Alcatras,1
0,centroid,1,Turbine,Braga,1
0,centroid,1,Turbine,Castor,3
0,centroid,1,Turbine,Hawk,1
0,centroid,1,Turbine,Turbine,21
0,centroid,1,Vega,Alaris,1
0,centroid,1,Vega,Braga,1
0,centroid,1,Vega,Turbine,1
0,centroid,1,Vega,Vega,33
0,centroid,1,Velorum,Velorum,60
0,centroid,1,Xtreme,Gemini,1
0,centroid,1,Xtreme,Xtreme,37
1,centroid,1,Alaris,Alaris,24
1,centroid,1,Alaris,Alcatras,3
1,centroid,1,Alaris,Gemini,1
1,centroid,1,Alcatras,Alaris,1
1,centroid,1,Alcatras,Alcatras,19
1,centroid,1,Alcatras,Braga,2
1,centroid,1,Alcatras,Castor,1
1,centroid,1,Alcatras,Trius,1
1,centroid,1,Alcatras,Turbine,1
1,centroid,1,Alcatras,Velorum,1
1,centroid,1,Braga,Alcatras,1
1,centroid,1,Braga,Braga,30
1,centroid,1,Braga,Castor,1
1,centroid,1,Braga,Gemini,1
1,centroid,1,Braga,Hawk,1
1,centroid,1,Braga,Triton,1
1,centroid,1,Braga,Trius,2
1,centroid,1,Braga,Vega,1
1,centroid,1,Castor,Alcatras,2
1,centroid,1,Castor,Braga,1
1,centroid,1,Castor,Castor,28
1,centroid,1,Castor,Trius,1
1,centroid,1,Denom,Denom,27
1,centroid,1,Denom,Ilias,2
1,centroid,1,Denom,Nivalis,1
1,centroid,1,Denom,Ratikon,4
1,centroid,1,Denom,Steel_Wheel,1
1,centroid,1,Denom,Vega,1
1,centroid,1,Denom,Velorum,2
1,centroid,1,Gemini,Braga,1
1,centroid,1,Gemini,Gemini,22
1,centroid,1,Gemini,Trius,2
1,centroid,1,Gemini,Vega,2
1,centroid,1,Hawk,Alcatras,1
1,centroid,1,Hawk,Braga,1
1,centroid,1,Hawk,Hawk,24
1,centroid,1,Ilias,Ilias,21
1,centroid,1,Ilias,Nivalis,1
1,centroid,1,Ilias,Ratikon,5
1,centroid,1,Ilias,Velorum,2
1,centroid,1,Mytikas,Alcatras,2
1,centroid,1,Mytikas,Mytikas,17
1,centroid,1,Mytikas,Triton,7
1,centroid,1,Mytikas,Trius,2
1,centroid,1,Nivalis,Denom,2
1,centroid,1,Nivalis,Ilias,1
1,centroid,1,Nivalis,Nivalis,18
1,centroid,1,Nivalis,Ratikon,1
1,centroid,1,Ratikon,Denom,4
1,centroid,1,Ratikon,Nivalis,1
1,centroid,1,Ratikon,Ratikon,23
1,centroid,1,Steel_Wheel,Steel_Wheel,35
1,centroid,1,Triton,Mytikas,2
1,centroid,1,Triton,Triton,49
1,centroid,1,Triton,Trius,3
1,centroid,1,Trius,Alaris,2
1,centroid,1,Trius,Braga,2
1,centroid,1,Trius,Gemini,1
1,centroid,1,Trius,Triton,8
1,centroid,1,Trius,Trius,27
1,centroid,1,Trius,Vega,1
1,centroid,1,Turbine,Alcatras,1
1,centroid,1,Turbine,Castor,3
1,centroid,1,Turbine,Turbine,24
1,centroid,1,Vega,Gemini,1
1,centroid,1,Vega,Vega,34
1,centroid,1,Velorum,Velorum,59
1,centroid,1,Xtreme,Gemini,1
1,centroid,1,Xtreme,Xtreme,37
2,centroid,1,Alaris,Alaris,22
2,centroid,1,Alaris,Alcatras,3
2,centroid,1,Alaris,Castor,1
2,centroid,1,Alaris,Trius,1
2,centroid,1,Alaris,Vega,1
2,centroid,1,Alcatras,Alaris,1
2,centroid,1,Alcatras,Alcatras,19
2,centroid,1,Alcatras,Castor,5
2,centroid,1,Alcatras,Mytikas,1
2,centroid,1,Braga,Alcatras,3
2,centroid,1,Braga,Braga,25
2,centroid,1,Braga,Castor,3
2,centroid,1,Braga,Triton,2
2,centroid,1,Braga,Turbine,1
2,centroid,1,Braga,Vega,3
2,centroid,1,Castor,Alcatras,1
2,centroid,1,Castor,Castor,30
2,centroid,1,Castor,Triton,1
2,centroid,1,Denom,Denom,32
2,centroid,1,Denom,Ratikon,6
2,centroid,1,Gemini,Denom,1
2,centroid,1,Gemini,Gemini,24
2,centroid,1,Gemini,Vega,1
2,centroid,1,Gemini,Xtreme,1
2,centroid,1,Hawk,Braga,1
2,centroid,1,Hawk,Hawk,24
2,centroid,1,Hawk,Vega,1
2,centroid,1,Ilias,Denom,3
2,centroid,1,Ilias,Ilias,21
2,centroid,1,Ilias,Ratikon,3
2,centroid,1,Ilias,Turbine,1
2,centroid,1,Ilias,Velorum,1
2,centroid,1,Mytikas,Alcatras,1
2,centroid,1,Mytikas,Castor,2
2,centroid,1,Mytikas,Mytikas,17
2,centroid,1,Mytikas,Nivalis,1
2,centroid,1,Mytikas,Triton,5
2,centroid,1,Mytikas,Trius,1
2,centroid,1,Mytikas,Turbine,1
2,centroid,1,Nivalis,Denom,2
2,centroid,1,Nivalis,Nivalis,17
2,centroid,1,Nivalis,Ratikon,3
2,centroid,1,Ratikon,Denom,5
2,centroid,1,Ratikon,Ilias,4
2,centroid,1,Ratikon,Nivalis,1
2,centroid,1,Ratikon,Ratikon,18
2,centroid,1,Steel_Wheel,Steel_Wheel,35
2,centroid,1,Triton,Alaris,1
2,centroid,1,Triton,Alcatras,1
2,centroid,1,Triton,Castor,2
2,centroid,1,Triton,Mytikas,1
2,centroid,1,Triton,Ratikon,1
2,centroid,1,Triton,Triton,45
2,centroid,1,Triton,Trius,2
2,centroid,1,Trius,Alaris,3
2,centroid,1,Trius,Alcatras,2
2,centroid,1,Trius,Braga,2
2,centroid,1,Trius,Castor,2
2,centroid,1,Trius,Gemini,1
2,centroid,1,Trius,Mytikas,2
2,centroid,1,Trius,Triton,3
2,centroid,1,Trius,Trius,24
2,centroid,1,Trius,Vega,2
2,centroid,1,Turbine,Castor,2
2,centroid,1,Turbine,Turbine,26
2,centroid,1,Vega,Braga,2
2,centroid,1,Vega,Vega,33
2,centroid,1,Velorum,Ilias,1
2,centroid,1,Velorum,Ratikon,1
2,centroid,1,Velorum,Velorum,57
2,centroid,1,Xtreme,Braga,1
2,centroid,1,Xtreme,Xtreme,37
