fold,retrieval_mode,topn,true_label,pred_label,count
0,centroid,1,Alaris,Alaris,22
0,centroid,1,Alaris,Alcatras,4
0,centroid,1,Alaris,Braga,1
0,centroid,1,Alaris,Trius,1
0,centroid,1,Alcatras,Alaris,1
0,centroid,1,Alcatras,Alcatras,20
0,centroid,1,Alcatras,Hawk,2
0,centroid,1,Alcatras,Triton,1
0,centroid,1,Alcatras,Turbine,2
0,centroid,1,Braga,Alcatras,2
0,centroid,1,Braga,Braga,31
0,centroid,1,Braga,Gemini,1
0,centroid,1,Braga,Triton,2
0,centroid,1,Braga,Turbine,1
0,centroid,1,Braga,Vega,1
0,centroid,1,Castor,Alcatras,2
0,centroid,1,Castor,Castor,28
0,centroid,1,Castor,Triton,1
0,centroid,1,Castor,Turbine,1
0,centroid,1,Denom,Denom,32
0,centroid,1,Denom,Nivalis,2
0,centroid,1,Denom,Ratikon,3
0,centroid,1,Denom,Velorum,1
0,centroid,1,Gemini,Alaris,1
0,centroid,1,Gemini,Gemini,24
0,centroid,1,Gemini,Hawk,1
0,centroid,1,Gemini,Trius,1
0,centroid,1,Gemini,Xtreme,1
0,centroid,1,Hawk,Gemini,1
0,centroid,1,Hawk,Hawk,25
0,centroid,1,Ilias,Ilias,24
0,centroid,1,Ilias,Ratikon,4
0,centroid,1,Ilias,Velorum,1
0,centroid,1,Mytikas,Alcatras,1
0,centroid,1,Mytikas,Mytikas,16
0,centroid,1,Mytikas,Triton,6
0,centroid,1,Mytikas,Trius,3
0,centroid,1,Mytikas,Vega,1
0,centroid,1,Mytikas,Velorum,1
0,centroid,1,Nivalis,Denom,6
0,centroid,1,Nivalis,Nivalis,13
0,centroid,1,Nivalis,Ratikon,2
0,centroid,1,Nivalis,Vega,1
0,centroid,1,Nivalis,Velorum,1
0,centroid,1,Ratikon,Denom,2
0,centroid,1,Ratikon,Ilias,2
0,centroid,1,Ratikon,Nivalis,1
0,centroid,1,Ratikon,Ratikon,23
0,centroid,1,Steel_Wheel,Steel_Wheel,36
0,centroid,1,Triton,Braga,2
0,centroid,1,Triton,Castor,2
0,centroid,1,Triton,Ilias,3
0,centroid,1,Triton,Mytikas,2
0,centroid,1,Triton,Triton,45
0,centroid,1,Trius,Alaris,1
0,centroid,1,Trius,Braga,1
0,centroid,1,Trius,Denom,2
0,centroid,1,Trius,Gemini,2
0,centroid,1,Trius,Ilias,1
0,centroid,1,Trius,Mytikas,2
0,centroid,1,Trius,Triton,6
0,centroid,1,Trius,Trius,25
0,centroid,1,Trius,Velorum,1
0,centroid,1,Turbine,Alcatras,1
0,centroid,1,Turbine,Braga,1
0,centroid,1,Turbine,Castor,3
0,centroid,1,Turbine,Hawk,1
0,centroid,1,Turbine,Turbine,20
0,centroid,1,Turbine,Vega,2
0,centroid,1,Vega,Gemini,1
0,centroid,1,Vega,Vega,35
0,centroid,1,Velorum,Velorum,60
0,centroid,1,Xtreme,Gemini,1
0,centroid,1,Xtreme,Xtreme,37
1,centroid,1,Alaris,Alaris,24
1,centroid,1,Alaris,Alcatras,3
1,centroid,1,Alaris,Braga,1
1,centroid,1,Alcatras,Alaris,1
1,centroid,1,Alcatras,Alcatras,19
1,centroid,1,Alcatras,Castor,3
1,centroid,1,Alcatras,Triton,1
1,centroid,1,Alcatras,Turbine,1
1,centroid,1,Alcatras,Velorum,1
1,centroid,1,Braga,Braga,31
1,centroid,1,Braga,Castor,3
1,centroid,1,Braga,Gemini,1
1,centroid,1,Braga,Triton,2
1,centroid,1,Braga,Turbine,1
1,centroid,1,Castor,Alcatras,3
1,centroid,1,Castor,Braga,1
1,centroid,1,Castor,Castor,25
1,centroid,1,Castor,Triton,1
1,centroid,1,Castor,Trius,2
1,centroid,1,Denom,Denom,27
1,centroid,1,Denom,Ilias,1
1,centroid,1,Denom,Ratikon,6
1,centroid,1,Denom,Steel_Wheel,1
1,centroid,1,Denom,Velorum,3
1,centroid,1,Gemini,Braga,2
1,centroid,1,Gemini,Gemini,21
1,centroid,1,Gemini,Mytikas,1
1,centroid,1,Gemini,Triton,1
1,centroid,1,Gemini,Vega,2
1,centroid,1,Hawk,Braga,2
1,centroid,1,Hawk,Hawk,23
1,centroid,1,Hawk,Trius,1
1,centroid,1,Ilias,Ilias,25
1,centroid,1,Ilias,Ratikon,3
1,centroid,1,Ilias,Velorum,1
1,centroid,1,Mytikas,Alcatras,1
1,centroid,1,Mytikas,Castor,1
1,centroid,1,Mytikas,Mytikas,14
1,centroid,1,Mytikas,Triton,8
1,centroid,1,Mytikas,Trius,4
1,centroid,1,Nivalis,Denom,3
1,centroid,1,Nivalis,Nivalis,19
1,centroid,1,Ratikon,Denom,3
1,centroid,1,Ratikon,Ilias,1
1,centroid,1,Ratikon,Ratikon,24
1,centroid,1,Steel_Wheel,Steel_Wheel,35
1,centroid,1,Triton,Alcatras,1
1,centroid,1,Triton,Castor,3
1,centroid,1,Triton,Mytikas,2
1,centroid,1,Triton,Triton,46
1,centroid,1,Triton,Trius,1
1,centroid,1,Triton,Velorum,1
1,centroid,1,Trius,Alaris,2
1,centroid,1,Trius,Alcatras,1
1,centroid,1,Trius,Braga,3
1,centroid,1,Trius,Nivalis,1
1,centroid,1,Trius,Triton,6
1,centroid,1,Trius,Trius,26
1,centroid,1,Trius,Vega,1
1,centroid,1,Trius,Velorum,1
1,centroid,1,Turbine,Alcatras,1
1,centroid,1,Turbine,Braga,1
1,centroid,1,Turbine,Castor,3
1,centroid,1,Turbine,Turbine,23
1,centroid,1,Vega,Gemini,2
1,centroid,1,Vega,Vega,33
1,centroid,1,Velorum,Velorum,59
1,centroid,1,Xtreme,Gemini,1
1,centroid,1,Xtreme,Xtreme,37
2,centroid,1,Alaris,Alaris,24
2,centroid,1,Alaris,Alcatras,2
2,centroid,1,Alaris,Trius,1
2,centroid,1,Alaris,Vega,1
2,centroid,1,Alcatras,Alaris,1
2,centroid,1,Alcatras,Alcatras,18
2,centroid,1,Alcatras,Braga,2
2,centroid,1,Alcatras,Castor,4
2,centroid,1,Alcatras,Triton,1
2,centroid,1,Braga,Alcatras,3
2,centroid,1,Braga,Braga,27
2,centroid,1,Braga,Castor,1
2,centroid,1,Braga,Gemini,1
2,centroid,1,Braga,Hawk,1
2,centroid,1,Braga,Triton,1
2,centroid,1,Braga,Vega,3
2,centroid,1,Castor,Alcatras,3
2,centroid,1,Castor,Castor,28
2,centroid,1,Castor,Triton,1
2,centroid,1,Denom,Denom,33
2,centroid,1,Denom,Ratikon,4
2,centroid,1,Denom,Velorum,1
2,centroid,1,Gemini,Denom,1
2,centroid,1,Gemini,Gemini,24
2,centroid,1,Gemini,Vega,1
2,centroid,1,Gemini,Xtreme,1
2,centroid,1,Hawk,Hawk,24
2,centroid,1,Hawk,Turbine,1
2,centroid,1,Hawk,Vega,1
2,centroid,1,Ilias,Alaris,1
2,centroid,1,Ilias,Denom,5
2,centroid,1,Ilias,Ilias,18
2,centroid,1,Ilias,Ratikon,4
2,centroid,1,Ilias,Turbine,1
2,centroid,1,Mytikas,Alcatras,1
2,centroid,1,Mytikas,Castor,3
2,centroid,1,Mytikas,Mytikas,18
2,centroid,1,Mytikas,Nivalis,1
2,centroid,1,Mytikas,Triton,2
2,centroid,1,Mytikas,Trius,3
2,centroid,1,Nivalis,Denom,3
2,centroid,1,Nivalis,Ilias,1
2,centroid,1,Nivalis,Nivalis,17
2,centroid,1,Nivalis,Ratikon,1
2,centroid,1,Ratikon,Denom,5
2,centroid,1,Ratikon,Ilias,1
2,centroid,1,Ratikon,Nivalis,1
2,centroid,1,Ratikon,Ratikon,21
2,centroid,1,Steel_Wheel,Steel_Wheel,35
2,centroid,1,Triton,Alcatras,1
2,centroid,1,Triton,Castor,1
2,centroid,1,Triton,Mytikas,4
2,centroid,1,Triton,Nivalis,1
2,centroid,1,Triton,Triton,41
2,centroid,1,Triton,Trius,4
2,centroid,1,Triton,Vega,1
2,centroid,1,Trius,Alaris,3
2,centroid,1,Trius,Alcatras,1
2,centroid,1,Trius,Braga,3
2,centroid,1,Trius,Castor,1
2,centroid,1,Trius,Gemini,1
2,centroid,1,Trius,Mytikas,2
2,centroid,1,Trius,Nivalis,1
2,centroid,1,Trius,Triton,4
2,centroid,1,Trius,Trius,25
2,centroid,1,Turbine,Castor,4
2,centroid,1,Turbine,Turbine,24
2,centroid,1,Vega,Vega,35
2,centroid,1,Velorum,Denom,1
2,centroid,1,Velorum,Ratikon,1
2,centroid,1,Velorum,Velorum,57
2,centroid,1,Xtreme,Braga,1
2,centroid,1,Xtreme,Gemini,1
2,centroid,1,Xtreme,Xtreme,36
