fold,retrieval_mode,topn,true_label,pred_label,count
0,centroid,1,Alaris,Alaris,20
0,centroid,1,Alaris,Alcatras,4
0,centroid,1,Alaris,Braga,2
0,centroid,1,Alaris,Hawk,1
0,centroid,1,Alaris,Trius,1
0,centroid,1,Alcatras,Alaris,1
0,centroid,1,Alcatras,Alcatras,16
0,centroid,1,Alcatras,Castor,4
0,centroid,1,Alcatras,Hawk,2
0,centroid,1,Alcatras,Trius,1
0,centroid,1,Alcatras,Turbine,2
0,centroid,1,Braga,Alaris,1
0,centroid,1,Braga,Alcatras,5
0,centroid,1,Braga,Braga,24
0,centroid,1,Braga,Gemini,1
0,centroid,1,Braga,Hawk,2
0,centroid,1,Braga,Triton,2
0,centroid,1,Braga,Turbine,2
0,centroid,1,Braga,Vega,1
0,centroid,1,Castor,Alcatras,3
0,centroid,1,Castor,Castor,29
0,centroid,1,Denom,Denom,31
0,centroid,1,Denom,Ilias,1
0,centroid,1,Denom,Nivalis,1
0,centroid,1,Denom,Ratikon,5
0,centroid,1,Gemini,Braga,1
0,centroid,1,Gemini,Gemini,21
0,centroid,1,Gemini,Vega,3
0,centroid,1,Gemini,Xtreme,3
0,centroid,1,Hawk,Hawk,26
0,centroid,1,Ilias,Denom,3
0,centroid,1,Ilias,Ilias,22
0,centroid,1,Ilias,Ratikon,2
0,centroid,1,Ilias,Velorum,2
0,centroid,1,Mytikas,Alcatras,5
0,centroid,1,Mytikas,Castor,2
0,centroid,1,Mytikas,Gemini,1
0,centroid,1,Mytikas,Mytikas,9
0,centroid,1,Mytikas,Triton,7
0,centroid,1,Mytikas,Trius,1
0,centroid,1,Mytikas,Turbine,1
0,centroid,1,Mytikas,Vega,1
0,centroid,1,Mytikas,Xtreme,1
0,centroid,1,Nivalis,Denom,7
0,centroid,1,Nivalis,Nivalis,14
0,centroid,1,Nivalis,Ratikon,1
0,centroid,1,Nivalis,Velorum,1
0,centroid,1,Ratikon,Denom,1
0,centroid,1,Ratikon,Ilias,4
0,centroid,1,Ratikon,Nivalis,1
0,centroid,1,Ratikon,Ratikon,22
0,centroid,1,Steel_Wheel,Steel_Wheel,36
