fold,retrieval_mode,topn,recall@1,recall@3,recall@5
0,centroid,1,0.8310276679841897,0.9693675889328063,0.991106719367589
0,multi_max,1,0.7806324110671937,0.9555335968379447,0.9881422924901185
0,multi_topn_avg,3,0.8320158102766798,0.9634387351778656,0.9901185770750988
1,centroid,1,0.8253968253968254,0.9662698412698413,0.9851190476190477
1,multi_max,1,0.7738095238095238,0.9623015873015873,0.9851190476190477
1,multi_topn_avg,3,0.8134920634920635,0.9662698412698413,0.9890873015873016
2,centroid,1,0.8305084745762712,0.963110667996012,0.9870388833499502
2,multi_max,1,0.7836490528414756,0.9551345962113659,0.9850448654037887
2,multi_topn_avg,3,0.8225324027916251,0.959122632103689,0.9880358923230309
3,centroid,1,0.8528528528528528,0.9679679679679679,0.990990990990991
3,multi_max,1,0.8208208208208209,0.9629629629629629,0.986986986986987
3,multi_topn_avg,3,0.8528528528528528,0.972972972972973,0.98998998998999
4,centroid,1,0.8418932527693856,0.9667673716012085,0.9848942598187311
4,multi_max,1,0.797583081570997,0.9496475327291037,0.9788519637462235
4,multi_topn_avg,3,0.8288016112789527,0.9607250755287009,0.9828801611278952
