label,dev_total,test_total,fold_0,fold_1,fold_2,fold_3,fold_4
Alaris,138,20,28,28,28,27,27
Alcatras,130,20,26,26,26,26,26
Braga,187,20,38,38,37,37,37
Castor,159,20,32,32,32,32,31
Denom,188,20,38,38,38,37,37
Gemini,136,20,28,27,27,27,27
Hawk,128,20,26,26,26,25,25
Ilias,144,20,29,29,29,29,28
Mytikas,138,20,28,28,28,27,27
Nivalis,111,20,23,22,22,22,22
Ratikon,139,20,28,28,28,28,27
Steel_Wheel,176,20,36,35,35,35,35
Triton,267,20,54,54,53,53,53
Trius,203,20,41,41,41,40,40
Turbine,138,20,28,28,28,27,27
Vega,176,20,36,35,35,35,35
Velorum,296,20,60,59,59,59,59
Xtreme,190,20,38,38,38,38,38
